feat	val	EMAD_cat	lex	pos	per	asp	cas	stt	mod	vox	form_gen	gen	form_num	num	rat
SUF	IVSUFF_SUBJ:2FP_MOOD:E	BASE	-	verb	2	i	-	-	e	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:2FS_MOOD:E	BASE	-	verb	2	i	-	-	e	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:2MP_MOOD:E	BASE	-	verb	2	i	-	-	e	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:2MS_MOOD:E	BASE	-	verb	2	i	-	-	e	-	-	m	-	s	-
SUF	IVSUFF_SUBJ:3FD_MOOD:E	BASE	-	verb	3	i	-	-	e	-	-	f	-	d	-
SUF	IVSUFF_SUBJ:3FP_MOOD:E	BASE	-	verb	3	i	-	-	e	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:3FS_MOOD:E	BASE	-	verb	3	i	-	-	e	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:3MD_MOOD:E	BASE	-	verb	3	i	-	-	e	-	-	m	-	d	-
SUF	IVSUFF_SUBJ:3MP_MOOD:E	BASE	-	verb	3	i	-	-	e	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:3MS_MOOD:E	BASE	-	verb	3	i	-	-	e	-	-	m	-	s	-
SUF	IVSUFF_SUBJ:MP_MOOD:E	BASE	-	verb	-	i	-	-	e	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:1P_MOOD:X	BASE	-	verb	1	i	-	-	x	-	-	-	-	p	-
SUF	IVSUFF_SUBJ:1S_MOOD:X	BASE	-	verb	1	i	-	-	x	-	-	-	-	s	-
SUF	IVSUFF_SUBJ:2D_MOOD:X	BASE	-	verb	2	i	-	-	x	-	-	-	-	d	-
SUF	IVSUFF_SUBJ:2FP_MOOD:X	BASE	-	verb	2	i	-	-	x	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:2FS_MOOD:X	BASE	-	verb	2	i	-	-	x	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:2MP_MOOD:X	BASE	-	verb	2	i	-	-	x	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:2MS_MOOD:X	BASE	-	verb	2	i	-	-	x	-	-	m	-	s	-
SUF	IVSUFF_SUBJ:3FD_MOOD:X	BASE	-	verb	3	i	-	-	x	-	-	f	-	d	-
SUF	IVSUFF_SUBJ:3FP_MOOD:X	BASE	-	verb	3	i	-	-	x	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:3FS_MOOD:X	BASE	-	verb	3	i	-	-	x	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:3MD_MOOD:X	BASE	-	verb	3	i	-	-	x	-	-	m	-	d	-
SUF	IVSUFF_SUBJ:3MP_MOOD:X	BASE	-	verb	3	i	-	-	x	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:3MS_MOOD:X	BASE	-	verb	3	i	-	-	x	-	-	m	-	s	-
SUF	IVSUFF_SUBJ:MP_MOOD:X	BASE	-	verb	-	i	-	-	x	-	-	m	-	p	-
SUF	CVSUFF_SUBJ:2MS	BASE	-	verb	2	c	-	-	i	-	-	m	-	s	-
SUF	CVSUFF_SUBJ:2D	BASE	-	verb	2	c	-	-	i	-	-	-	-	d	-
SUF	CVSUFF_SUBJ:2MP	BASE	-	verb	2	c	-	-	i	-	-	m	-	p	-
SUF	CVSUFF_SUBJ:2FS	BASE	-	verb	2	c	-	-	i	-	-	f	-	s	-
SUF	CVSUFF_SUBJ:2FP	BASE	-	verb	2	c	-	-	i	-	-	f	-	p	-
SUF	CVSUFF_SUBJ:2MS_MOOD:E	BASE	-	verb	2	c	-	-	e	-	-	m	-	s	-
SUF	CVSUFF_SUBJ:2MP_MOOD:E	BASE	-	verb	2	c	-	-	e	-	-	m	-	p	-
SUF	CVSUFF_SUBJ:2FS_MOOD:E	BASE	-	verb	2	c	-	-	e	-	-	f	-	s	-
SUF	CVSUFF_SUBJ:2FP_MOOD:E	BASE	-	verb	2	c	-	-	e	-	-	f	-	p	-
SUF	CVSUFF_SUBJ:2D_MOOD:E	BASE	-	verb	2	c	-	-	e	-	-	-	-	d	-
SUF	CVSUFF_SUBJ:2MS_MOOD:X	BASE	-	verb	2	c	-	-	x	-	-	m	-	s	-
SUF	CVSUFF_SUBJ:2MP_MOOD:X	BASE	-	verb	2	c	-	-	x	-	-	m	-	p	-
SUF	CVSUFF_SUBJ:2FS_MOOD:X	BASE	-	verb	2	c	-	-	x	-	-	f	-	s	-
SUF	CVSUFF_SUBJ:2FP_MOOD:X	BASE	-	verb	2	c	-	-	x	-	-	f	-	p	-
SUF	CVSUFF_SUBJ:2D_MOOD:X	BASE	-	verb	2	c	-	-	x	-	-	-	-	d	-
SUF	CASE_INDEF_NOM	BASE	-	-	-	-	n	i	-	-	m	-	s	-	-
SUF	CASE_INDEF_ACC	BASE	-	-	-	-	a	i	-	-	m	-	s	-	-
SUF	CASE_INDEF_GEN	BASE	-	-	-	-	g	i	-	-	m	-	s	-	-
SUF	CASE_DEF_NOM	BASE	-	-	-	-	n	d	-	-	m	-	s	-	-
SUF	CASE_DEF_ACC	BASE	-	-	-	-	a	d	-	-	m	-	s	-	-
SUF	CASE_DEF_GEN	BASE	-	-	-	-	g	d	-	-	m	-	s	-	-
SUF	CASE_DEF_ACC	BASE	-	-	-	-	a	c	-	-	m	-	s	-	-
SUF	CASE_DEF_GEN	BASE	-	-	-	-	g	c	-	-	m	-	s	-	-
SUF	CASE_DEF_NOM	BASE	-	-	-	-	n	c	-	-	m	-	s	-	-
SUF	NSUFF_MASC_DU_NOM	BASE	-	-	-	-	n	-	-	-	m	-	d	-	-
SUF	NSUFF_MASC_DU_ACC	BASE	-	-	-	-	a	-	-	-	m	-	d	-	-
SUF	NSUFF_MASC_DU_GEN	BASE	-	-	-	-	g	-	-	-	m	-	d	-	-
SUF	NSUFF_MASC_DU	BASE	-	-	-	-	-	-	-	-	m	-	d	-	-
SUF	NSUFF_MASC_DU_NOM_POSS	BASE	-	-	-	-	n	c	-	-	m	-	d	-	-
SUF	NSUFF_MASC_DU_ACC_POSS	BASE	-	-	-	-	a	c	-	-	m	-	d	-	-
SUF	NSUFF_MASC_DU_GEN_POSS	BASE	-	-	-	-	g	c	-	-	m	-	d	-	-
SUF	NSUFF_MASC_PL_NOM	BASE	-	-	-	-	n	-	-	-	m	-	p	-	-
SUF	NSUFF_MASC_PL_ACC	BASE	-	-	-	-	a	-	-	-	m	-	p	-	-
SUF	NSUFF_MASC_PL_GEN	BASE	-	-	-	-	g	-	-	-	m	-	p	-	-
SUF	NSUFF_MASC_PL	BASE	-	-	-	-	-	-	-	-	m	-	p	-	-
SUF	NSUFF_MASC_PL_NOM_POSS	BASE	-	-	-	-	n	c	-	-	m	-	p	-	-
SUF	NSUFF_MASC_PL_ACC_POSS	BASE	-	-	-	-	a	c	-	-	m	-	p	-	-
SUF	NSUFF_MASC_PL_GEN_POSS	BASE	-	-	-	-	g	c	-	-	m	-	p	-	-
SUF	NSUFF_FEM_SG+CASE_INDEF_NOM	BASE	-	-	-	-	n	i	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_INDEF_ACC	BASE	-	-	-	-	a	i	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_INDEF_GEN	BASE	-	-	-	-	g	i	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_INDEF_GEN	BASE	-	-	-	-	-	i	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG	BASE	-	-	-	-	-	i	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_DEF_NOM	BASE	-	-	-	-	n	d	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_DEF_ACC	BASE	-	-	-	-	a	d	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_DEF_GEN	BASE	-	-	-	-	g	d	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_DEF_GEN	BASE	-	-	-	-	-	d	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG	BASE	-	-	-	-	-	d	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_DEF_NOM	BASE	-	-	-	-	n	c	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG	BASE	-	-	-	-	n	c	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_DEF_ACC	BASE	-	-	-	-	a	c	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG	BASE	-	-	-	-	a	c	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_DEF_GEN	BASE	-	-	-	-	g	c	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG	BASE	-	-	-	-	g	c	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG+CASE_DEF_GEN	BASE	-	-	-	-	-	c	-	-	f	-	s	-	-
SUF	NSUFF_FEM_SG	BASE	-	-	-	-	-	c	-	-	f	-	s	-	-
SUF	NSUFF_FEM_DU_NOM	BASE	-	-	-	-	n	-	-	-	f	-	d	-	-
SUF	NSUFF_FEM_DU_ACC	BASE	-	-	-	-	a	-	-	-	f	-	d	-	-
SUF	NSUFF_FEM_DU_GEN	BASE	-	-	-	-	g	-	-	-	f	-	d	-	-
SUF	NSUFF_FEM_DU	BASE	-	-	-	-	-	-	-	-	f	-	d	-	-
SUF	NSUFF_FEM_DU_NOM_POSS	BASE	-	-	-	-	n	c	-	-	f	-	d	-	-
SUF	NSUFF_FEM_DU_ACC_POSS	BASE	-	-	-	-	a	c	-	-	f	-	d	-	-
SUF	NSUFF_FEM_DU_GEN_POSS	BASE	-	-	-	-	g	c	-	-	f	-	d	-	-
SUF	NSUFF_FEM_PL+CASE_INDEF_NOM	BASE	-	-	-	-	n	i	-	-	f	-	p	-	-
SUF	NSUFF_FEM_PL+CASE_INDEF_ACC	BASE	-	-	-	-	a	i	-	-	f	-	p	-	-
SUF	NSUFF_FEM_PL+CASE_INDEF_GEN	BASE	-	-	-	-	g	i	-	-	f	-	p	-	-
SUF	NSUFF_FEM_PL	BASE	-	-	-	-	-	i	-	-	f	-	p	-	-
SUF	NSUFF_FEM_PL+CASE_DEF_NOM	BASE	-	-	-	-	n	d	-	-	f	-	p	-	-
SUF	NSUFF_FEM_PL+CASE_DEF_ACC	BASE	-	-	-	-	a	d	-	-	f	-	p	-	-
SUF	NSUFF_FEM_PL+CASE_DEF_GEN	BASE	-	-	-	-	g	d	-	-	f	-	p	-	-
SUF	NSUFF_FEM_PL	BASE	-	-	-	-	-	d	-	-	f	-	p	-	-
SUF	NSUFF_FEM_PL+CASE_DEF_NOM	BASE	-	-	-	-	n	c	-	-	f	-	p	-	-
SUF	NSUFF_FEM_PL+CASE_DEF_ACC	BASE	-	-	-	-	a	c	-	-	f	-	p	-	-
